ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13761241,JJ160950,02/25/2025 12:00:00 AM,078XX S HALSTED ST,0460,BATTERY,SIMPLE,STREET,false,false,0621,006,17,71,08B,1172325,1852947,2025,03/04/2025 03:41:22 PM,41.751928332,-87.644077264,POINT (-87.644077264 41.751928332)
13758436,JJ161145,02/25/2025 12:00:00 AM,033XX W ALTGELD ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,1413,014,35,22,06,1153529,1916419,2025,03/04/2025 03:41:22 PM,41.92649591,-87.711272034,POINT (-87.711272034 41.92649591)
13761404,JJ164710,02/25/2025 12:00:00 AM,057XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2514,025,30,19,06,1137610,1920696,2025,03/04/2025 03:41:22 PM,41.938534467,-87.769664489,POINT (-87.769664489 41.938534467)
13759742,JJ162571,02/25/2025 12:00:00 AM,080XX S PARNELL AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,false,0621,006,6,44,17,1174028,1851568,2025,03/04/2025 03:41:22 PM,41.748106575,-87.637877407,POINT (-87.637877407 41.748106575)
13760822,JJ164097,02/25/2025 12:00:00 AM,051XX N CALIFORNIA AVE,0810,THEFT,OVER $500,HOSPITAL BUILDING / GROUNDS,false,false,2031,020,40,4,06,1156765,1934163,2025,03/04/2025 03:41:22 PM,41.975121537,-87.698898525,POINT (-87.698898525 41.975121537)
13759622,JJ162644,02/25/2025 12:00:00 AM,069XX S UNION AVE,0810,THEFT,OVER $500,APARTMENT,false,false,0732,007,6,68,06,1172833,1858894,2025,03/04/2025 03:41:22 PM,41.76823645,-87.642040549,POINT (-87.642040549 41.76823645)
13758406,JJ161010,02/25/2025 12:00:00 AM,040XX S TALMAN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE - GARAGE,false,false,0921,009,12,58,14,1159388,1877905,2025,03/04/2025 03:41:22 PM,41.820691149,-87.690802238,POINT (-87.690802238 41.820691149)
13758384,JJ161012,02/25/2025 12:00:00 AM,035XX W CHICAGO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,true,false,1121,011,27,23,18,1152787,1905111,2025,03/04/2025 03:41:22 PM,41.895480474,-87.714298449,POINT (-87.714298449 41.895480474)
13758413,JJ161046,02/25/2025 12:00:00 AM,089XX S HOUSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0424,004,10,46,14,1198076,1846232,2025,03/04/2025 03:41:22 PM,41.732897026,-87.549937166,POINT (-87.549937166 41.732897026)
13758247,JJ160863,02/24/2025 11:50:00 PM,078XX S STATE ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,SIDEWALK,false,false,0623,006,6,69,15,1177650,1852817,2025,03/04/2025 03:41:22 PM,41.751452878,-87.624567581,POINT (-87.624567581 41.751452878)
13758266,JJ160861,02/24/2025 11:42:00 PM,008XX E 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0312,003,20,42,15,1183192,1863426,2025,03/04/2025 03:41:22 PM,41.780437938,-87.603929334,POINT (-87.603929334 41.780437938)
13758251,JJ160877,02/24/2025 11:40:00 PM,133XX S BALTIMORE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0433,004,10,55,14,1199102,1817057,2025,03/04/2025 03:41:22 PM,41.652812326,-87.547154047,POINT (-87.547154047 41.652812326)
13758269,JJ160865,02/24/2025 11:32:00 PM,001XX W 63RD ST,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,STREET,false,false,0311,003,20,68,26,1176275,1863208,2025,03/04/2025 03:41:22 PM,41.77999793,-87.629294594,POINT (-87.629294594 41.77999793)
13758343,JJ160972,02/24/2025 11:30:00 PM,023XX E 70TH ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0331,003,5,43,08B,1193221,1859006,2025,03/04/2025 03:41:22 PM,41.768069819,-87.567306284,POINT (-87.567306284 41.768069819)
13758282,JJ160851,02/24/2025 11:25:00 PM,009XX N AUSTIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1511,015,29,25,08B,1136202,1905511,2025,03/04/2025 03:41:22 PM,41.896890334,-87.775202505,POINT (-87.775202505 41.896890334)
13758311,JJ160881,02/24/2025 11:16:00 PM,029XX W LAKE ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,false,false,1222,012,27,27,07,1156806,1901002,2025,03/04/2025 03:41:22 PM,41.884124476,-87.699649009,POINT (-87.699649009 41.884124476)
13758425,JJ160858,02/24/2025 11:16:00 PM,075XX S CALUMET AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,true,0623,006,6,69,04A,1179783,1854996,2025,03/04/2025 03:41:22 PM,41.757383812,-87.616684707,POINT (-87.616684707 41.757383812)
13758335,JJ160857,02/24/2025 11:11:00 PM,088XX S EUCLID AVE,041A,BATTERY,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,false,false,0412,004,8,48,04B,1190721,1846689,2025,03/04/2025 03:41:22 PM,41.734331623,-87.576866725,POINT (-87.576866725 41.734331623)
13758241,JJ160862,02/24/2025 11:10:00 PM,102XX W ZEMKE RD,1340,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,true,false,1654,016,41,76,14,1106955,1941060,2025,03/04/2025 03:41:22 PM,41.994913946,-87.881937669,POINT (-87.881937669 41.994913946)
13758252,JJ160883,02/24/2025 11:08:00 PM,034XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0211,002,4,35,14,1181095,1882300,2025,03/04/2025 03:41:22 PM,41.832278311,-87.611035696,POINT (-87.611035696 41.832278311)
13758239,JJ160839,02/24/2025 11:07:00 PM,070XX S INDIANA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,true,false,0322,003,6,69,15,1178812,1858342,2025,03/04/2025 03:41:22 PM,41.766587744,-87.620141588,POINT (-87.620141588 41.766587744)
